"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.05.2020","18.207,50","18.067,50","18.405,00","18.030,00","-","1,21%"
"27.05.2020","17.990,00","17.920,00","18.220,00","17.740,00","-","1,18%"
"26.05.2020","17.780,00","17.722,50","17.885,00","17.680,00","-","1,14%"
"25.05.2020","17.580,00","17.425,00","17.595,00","17.287,50","-","1,33%"
"22.05.2020","17.350,00","16.900,00","17.372,50","16.800,00","-","1,39%"
"21.05.2020","17.112,50","17.060,00","17.265,00","16.937,50","-","-0,25%"
"20.05.2020","17.155,00","17.020,00","17.232,50","16.655,00","-","1,64%"
"19.05.2020","16.877,50","17.430,00","17.667,50","16.870,00","-","-3,28%"
"18.05.2020","17.450,00","16.915,00","17.522,50","16.892,50","-","4,35%"
"15.05.2020","16.722,50","16.800,00","16.977,50","16.642,50","-","-0,55%"
"14.05.2020","16.815,00","16.915,00","17.040,00","16.407,50","-","-0,90%"
"13.05.2020","16.967,50","17.182,50","17.290,00","16.885,00","-","-1,47%"
"12.05.2020","17.220,00","17.212,50","17.470,00","17.167,50","-","-0,55%"
"11.05.2020","17.315,00","17.440,00","17.545,00","17.170,00","-","-0,06%"
"08.05.2020","17.325,00","17.252,50","17.335,00","17.120,00","-","1,96%"
"07.05.2020","16.992,50","17.027,50","17.227,50","16.955,00","-","0,37%"
"06.05.2020","16.930,00","17.155,00","17.365,00","16.915,00","-","-0,86%"
"05.05.2020","17.077,50","17.102,50","17.282,50","16.945,00","-","0,10%"
"04.05.2020","17.060,00","17.092,50","17.217,50","16.900,00","-","-2,22%"
"30.04.2020","17.447,50","18.167,50","18.187,50","17.390,00","-","-2,75%"
"29.04.2020","17.940,00","17.587,50","18.022,50","17.467,50","-","3,09%"
"28.04.2020","17.402,50","17.275,00","17.837,50","17.257,50","-","0,45%"
"27.04.2020","17.325,00","17.115,00","17.337,50","17.045,00","-","2,73%"
"24.04.2020","16.865,00","16.532,50","17.052,50","16.522,50","-","1,34%"
"23.04.2020","16.642,50","16.687,50","17.055,00","16.607,50","-","-0,18%"
"22.04.2020","16.672,50","16.557,50","16.720,00","16.422,50","-","1,54%"
"21.04.2020","16.420,00","16.680,00","16.867,50","16.352,50","-","-2,19%"
"20.04.2020","16.787,50","17.072,50","17.122,50","16.712,50","-","-1,68%"
"17.04.2020","17.075,00","17.115,00","17.237,50","16.890,00","-","2,66%"
"16.04.2020","16.632,50","16.717,50","17.070,00","16.555,00","-","0,20%"
"09.04.2020","17.725,00","17.445,00","17.775,00","17.272,50","-","1,81%"
"08.04.2020","17.410,00","17.307,50","17.467,50","16.935,00","-","1,43%"
"07.04.2020","17.165,00","17.287,50","17.817,50","17.097,50","-","-0,61%"
"06.04.2020","17.270,00","16.795,00","17.307,50","16.645,00","-","7,12%"
"30.03.2020","16.724,00","16.725,00","16.795,00","16.050,00","15,56K","1,03%"
