"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.05.2020","7.224,10","7.237,30","7.244,50","7.141,40","375,47M","0,69%"
"27.05.2020","7.174,50","7.034,00","7.229,00","7.030,20","501,01M","2,44%"
"26.05.2020","7.003,90","6.940,60","7.023,80","6.917,10","383,73M","2,15%"
"25.05.2020","6.856,80","6.766,60","6.856,80","6.725,20","187,07M","2,38%"
"22.05.2020","6.697,50","6.618,20","6.751,80","6.585,70","292,69M","0,17%"
"21.05.2020","6.686,10","6.612,70","6.773,40","6.579,90","258,58M","0,04%"
"20.05.2020","6.683,60","6.593,40","6.697,10","6.499,10","341,45M","1,13%"
"19.05.2020","6.609,10","6.864,20","6.872,60","6.555,60","501,36M","-2,51%"
"18.05.2020","6.779,30","6.583,10","6.790,20","6.558,10","203,49M","4,70%"
"15.05.2020","6.474,90","6.594,40","6.624,30","6.466,00","203,85M","-1,08%"
"14.05.2020","6.545,60","6.569,70","6.609,00","6.421,40","258,95M","-1,29%"
"13.05.2020","6.631,40","6.694,00","6.728,20","6.631,40","245,67M","-1,94%"
"12.05.2020","6.762,70","6.672,70","6.795,10","6.663,20","172,85M","1,36%"
"11.05.2020","6.672,20","6.830,90","6.854,70","6.651,70","217,44M","-1,63%"
"08.05.2020","6.783,10","6.790,70","6.807,40","6.715,40","128,58M","0,78%"
"07.05.2020","6.730,90","6.714,90","6.747,20","6.666,40","167,46M","0,89%"
"06.05.2020","6.671,70","6.719,80","6.762,50","6.666,20","166,02M","-1,13%"
"05.05.2020","6.747,70","6.772,20","6.815,90","6.680,70","203,87M","1,11%"
"04.05.2020","6.673,30","6.767,70","6.767,70","6.673,30","241,56M","-3,60%"
"30.04.2020","6.922,30","7.084,80","7.128,40","6.918,30","314,98M","-1,89%"
"29.04.2020","7.055,70","6.829,40","7.055,70","6.816,80","247,76M","3,21%"
"28.04.2020","6.836,40","6.724,60","6.857,90","6.707,90","233,78M","1,55%"
"27.04.2020","6.731,80","6.780,90","6.790,10","6.667,30","147,26M","1,78%"
"24.04.2020","6.613,90","6.641,30","6.710,80","6.578,10","182,93M","-1,97%"
"23.04.2020","6.746,50","6.758,70","6.797,60","6.713,60","163,72M","0,40%"
"22.04.2020","6.719,80","6.685,10","6.729,60","6.654,20","177,93M","1,28%"
"21.04.2020","6.634,90","6.741,30","6.760,90","6.634,90","200,78M","-2,88%"
"20.04.2020","6.831,50","6.932,50","6.933,30","6.715,00","186,64M","-0,64%"
"17.04.2020","6.875,80","6.942,50","7.000,30","6.845,00","251,27M","1,66%"
"16.04.2020","6.763,40","6.930,80","6.950,90","6.733,10","237,96M","-1,11%"
"15.04.2020","6.839,50","7.065,60","7.086,80","6.816,40","289,92M","-3,79%"
"14.04.2020","7.108,60","7.209,70","7.209,70","7.080,30","259,99M","0,54%"
"09.04.2020","7.070,60","7.049,30","7.116,80","6.918,70","240,35M","1,71%"
"08.04.2020","6.951,80","6.930,20","6.952,50","6.860,60","155,91M","-0,72%"
"07.04.2020","7.002,00","6.986,90","7.119,10","6.903,60","260,86M","2,30%"
"06.04.2020","6.844,30","6.807,90","6.874,90","6.728,60","225,97M","3,99%"
"03.04.2020","6.581,60","6.563,60","6.632,50","6.509,40","215,39M","0,11%"
"02.04.2020","6.574,10","6.633,70","6.658,90","6.424,50","233,31M","-0,08%"
"01.04.2020","6.579,40","6.627,30","6.687,80","6.565,20","235,11M","-3,04%"
"31.03.2020","6.785,40","6.746,80","6.802,00","6.624,70","258,18M","1,88%"
"30.03.2020","6.659,90","6.748,60","6.789,10","6.507,00","232,01M","-1,74%"
