"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.05.2020","3.029,73","3.046,61","3.068,67","3.023,40","-","-0,21%"
"27.05.2020","3.036,13","3.015,65","3.036,25","2.969,75","-","1,48%"
"26.05.2020","2.991,77","3.004,08","3.021,72","2.988,17","-","1,23%"
"22.05.2020","2.955,45","2.948,05","2.956,76","2.933,59","-","0,24%"
"21.05.2020","2.948,51","2.969,95","2.978,50","2.938,57","-","-0,78%"
"20.05.2020","2.971,61","2.953,63","2.980,29","2.953,63","-","1,67%"
"19.05.2020","2.922,94","2.948,59","2.964,21","2.922,35","-","-1,05%"
"18.05.2020","2.953,91","2.913,86","2.968,09","2.913,86","-","3,15%"
"15.05.2020","2.863,70","2.829,95","2.865,01","2.816,78","-","0,39%"
"14.05.2020","2.852,50","2.794,54","2.852,80","2.766,64","-","1,15%"
"13.05.2020","2.820,00","2.865,86","2.874,14","2.793,15","-","-1,75%"
"12.05.2020","2.870,12","2.939,50","2.945,82","2.869,59","-","-2,05%"
"11.05.2020","2.930,32","2.915,46","2.944,25","2.903,44","-","0,02%"
"08.05.2020","2.929,80","2.908,83","2.932,16","2.902,88","-","1,69%"
"07.05.2020","2.881,19","2.878,26","2.901,92","2.876,48","-","1,15%"
"06.05.2020","2.848,42","2.883,14","2.891,11","2.847,65","-","-0,70%"
"05.05.2020","2.868,44","2.868,88","2.898,23","2.863,55","-","0,90%"
"04.05.2020","2.842,74","2.815,01","2.844,24","2.797,85","-","0,42%"
"01.05.2020","2.830,71","2.869,09","2.869,09","2.821,61","-","-2,81%"
"30.04.2020","2.912,43","2.930,91","2.930,91","2.892,47","-","-0,92%"
"29.04.2020","2.939,51","2.918,46","2.954,86","2.912,16","-","2,66%"
"28.04.2020","2.863,39","2.909,96","2.921,15","2.860,71","-","-0,52%"
"27.04.2020","2.878,48","2.854,65","2.887,72","2.852,89","-","1,47%"
"24.04.2020","2.836,74","2.812,64","2.842,71","2.791,76","-","1,39%"
"23.04.2020","2.797,80","2.810,42","2.844,90","2.794,26","-","-0,05%"
"22.04.2020","2.799,31","2.787,89","2.815,10","2.775,95","-","2,29%"
"21.04.2020","2.736,56","2.784,81","2.785,54","2.727,10","-","-3,07%"
"20.04.2020","2.823,16","2.845,62","2.868,98","2.820,43","-","-1,79%"
"17.04.2020","2.874,56","2.842,43","2.879,22","2.830,88","-","2,68%"
"16.04.2020","2.799,55","2.799,34","2.806,51","2.764,32","-","0,58%"
"15.04.2020","2.783,36","2.795,64","2.801,88","2.761,54","-","-2,20%"
"14.04.2020","2.846,06","2.805,10","2.851,85","2.805,10","-","3,06%"
"13.04.2020","2.761,63","2.782,46","2.782,46","2.721,17","-","-1,01%"
"09.04.2020","2.789,82","2.776,99","2.818,57","2.762,36","-","1,45%"
"08.04.2020","2.749,98","2.685,00","2.760,75","2.663,30","-","3,41%"
"07.04.2020","2.659,41","2.738,65","2.756,89","2.657,67","-","-0,16%"
"06.04.2020","2.663,68","2.578,28","2.676,85","2.574,57","-","7,03%"
"03.04.2020","2.488,65","2.514,92","2.538,18","2.459,96","-","-1,51%"
"02.04.2020","2.526,90","2.458,54","2.533,22","2.455,79","-","2,28%"
"01.04.2020","2.470,50","2.498,08","2.522,75","2.447,49","-","-4,41%"
"31.03.2020","2.584,59","2.614,69","2.641,39","2.571,15","-","-1,60%"
"30.03.2020","2.626,65","2.558,98","2.631,80","2.545,28","-","3,35%"
