"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
USA,1322164,379.0,78616.0,1.0,223749.0,1019799,16978.0,3994.0,238.0,8638846.0,26099.0
Spain,260117,,26299.0,,168408.0,65410,2075.0,5563.0,562.0,1932455.0,41332.0
Italy,217185,,30201.0,,99023.0,87961,1168.0,3592.0,500.0,2445063.0,40440.0
UK,211364,,31241.0,,,179779,1559.0,3114.0,460.0,1631561.0,24034.0
Russia,198676,10817.0,1827.0,104.0,31916.0,164933,2300.0,1361.0,13.0,5221964.0,35783.0
France,176079,,26230.0,,55782.0,94067,2868.0,2698.0,402.0,1384633.0,21213.0
Germany,170588,,7510.0,,143300.0,19778,1712.0,2036.0,90.0,2755770.0,32891.0
Brazil,146894,1002.0,10017.0,25.0,59297.0,77580,8318.0,691.0,47.0,339552.0,1597.0
Turkey,135569,,3689.0,,86396.0,45484,1219.0,1607.0,44.0,1298806.0,15400.0
Iran,104691,,6541.0,,83837.0,14313,2711.0,1246.0,78.0,558899.0,6654.0
Canada,66434,,4569.0,,30406.0,31459,502.0,1760.0,121.0,1032088.0,27346.0
Peru,61847,,1714.0,,19012.0,41121,730.0,1876.0,52.0,473190.0,14351.0
India,59765,70.0,1986.0,1.0,17897.0,39882,,43.0,1.0,1523213.0,1104.0
Belgium,52596,585.0,8581.0,60.0,13411.0,30604,502.0,4538.0,740.0,540643.0,46649.0
Netherlands,42093,,5359.0,,,36484,564.0,2457.0,313.0,249655.0,14570.0
Saudi Arabia,35432,,229.0,,9120.0,26083,141.0,1018.0,7.0,418722.0,12027.0
Mexico,31522,1906.0,3160.0,199.0,20314.0,8048,378.0,244.0,25.0,123446.0,957.0
Switzerland,30207,,1823.0,,26100.0,2284,101.0,3490.0,211.0,301675.0,34857.0
Ecuador,28818,,1704.0,,3433.0,23681,156.0,1633.0,97.0,82312.0,4665.0
Pakistan,27474,1039.0,618.0,19.0,7756.0,19100,111.0,124.0,3.0,270025.0,1222.0
Portugal,27268,,1114.0,,2422.0,23732,127.0,2674.0,109.0,501718.0,49204.0
Chile,25972,,294.0,,12160.0,13518,508.0,1359.0,15.0,255961.0,13390.0
Sweden,25265,,3175.0,,4971.0,17119,425.0,2502.0,314.0,148500.0,14704.0
Ireland,22541,,1429.0,,17110.0,4002,76.0,4565.0,289.0,214761.0,43493.0
Singapore,22460,753.0,20.0,,2040.0,20400,22.0,3839.0,3.0,175604.0,30016.0
Belarus,21101,,121.0,,5484.0,15496,92.0,2233.0,13.0,240146.0,25414.0
Qatar,20201,,12.0,,2370.0,17819,72.0,7012.0,4.0,120458.0,41810.0
UAE,16793,,174.0,,3837.0,12782,1.0,1698.0,18.0,1200000.0,121330.0
Israel,16444,8.0,245.0,,11313.0,4886,78.0,1900.0,28.0,451028.0,52109.0
Austria,15833,59.0,615.0,1.0,13928.0,1290,79.0,1758.0,68.0,311690.0,34608.0
Japan,15575,,590.0,,5146.0,9839,300.0,123.0,5.0,202013.0,1597.0
Poland,15510,144.0,777.0,1.0,5437.0,9296,160.0,410.0,21.0,443506.0,11719.0
Romania,15131,320.0,926.0,3.0,6912.0,7293,245.0,787.0,48.0,248056.0,12894.0
Ukraine,14710,515.0,376.0,15.0,2909.0,11425,190.0,336.0,9.0,167107.0,3821.0
Bangladesh,13770,636.0,214.0,8.0,2414.0,11142,1.0,84.0,1.0,116919.0,710.0
Indonesia,13645,533.0,959.0,16.0,2607.0,10079,,50.0,4.0,150887.0,552.0
S. Korea,10840,18.0,256.0,,9568.0,1016,55.0,211.0,5.0,660030.0,12874.0
Philippines,10610,147.0,704.0,8.0,1842.0,8064,31.0,97.0,6.0,157730.0,1439.0
Denmark,10218,,522.0,,7927.0,1769,43.0,1764.0,90.0,298488.0,51533.0
Colombia,10051,,428.0,,2424.0,7199,130.0,198.0,8.0,139739.0,2746.0
Serbia,9943,,209.0,,2453.0,7281,45.0,1138.0,24.0,128805.0,14742.0
Dominican Republic,9376,,380.0,,2286.0,6710,134.0,864.0,35.0,38543.0,3553.0
South Africa,8895,,178.0,,3153.0,5564,77.0,150.0,3.0,307752.0,5189.0
Egypt,8476,,503.0,,1945.0,6028,41.0,83.0,5.0,90000.0,879.0
Czechia,8078,1.0,273.0,,4414.0,3391,47.0,754.0,25.0,298649.0,27888.0
Panama,8070,202.0,231.0,6.0,886.0,6953,85.0,1870.0,54.0,40356.0,9353.0
Norway,8070,,218.0,,32.0,7820,27.0,1489.0,40.0,195921.0,36140.0
Kuwait,7208,,47.0,,2466.0,4695,91.0,1688.0,11.0,196397.0,45988.0
Australia,6929,15.0,97.0,,6135.0,697,19.0,272.0,4.0,795456.0,31194.0
Malaysia,6589,54.0,108.0,1.0,4929.0,1552,18.0,204.0,3.0,245102.0,7573.0
Finland,5880,142.0,265.0,5.0,4000.0,1615,45.0,1061.0,48.0,119100.0,21495.0
Morocco,5873,162.0,186.0,,2389.0,3298,1.0,159.0,5.0,62007.0,1680.0
Argentina,5611,,293.0,,1659.0,3659,148.0,124.0,6.0,77901.0,1724.0
Algeria,5369,,488.0,,2467.0,2414,22.0,122.0,11.0,6500.0,148.0
Kazakhstan,4922,88.0,31.0,,1631.0,3260,31.0,262.0,2.0,385104.0,20510.0
Moldova,4728,,159.0,9.0,1925.0,2644,237.0,1172.0,39.0,20447.0,5069.0
Bahrain,4444,,8.0,,2028.0,2408,2.0,2612.0,5.0,172158.0,101176.0
Afghanistan,4033,255.0,115.0,6.0,502.0,3416,7.0,104.0,3.0,15560.0,400.0
Ghana,4012,,18.0,,323.0,3671,8.0,129.0,0.6,149948.0,4826.0
Nigeria,3912,,117.0,,679.0,3116,4.0,19.0,0.6,23835.0,116.0
Luxembourg,3871,,100.0,,3526.0,245,16.0,6184.0,160.0,53257.0,85078.0
Oman,3224,112.0,17.0,1.0,1068.0,2139,17.0,631.0,3.0,50000.0,9791.0
Hungary,3213,35.0,405.0,13.0,904.0,1904,74.0,333.0,42.0,103258.0,10689.0
Armenia,3175,146.0,44.0,1.0,1267.0,1864,10.0,1071.0,15.0,30397.0,10258.0
Thailand,3004,4.0,56.0,1.0,2787.0,161,61.0,43.0,0.8,227860.0,3264.0
Greece,2691,,150.0,,1374.0,1167,32.0,258.0,14.0,94991.0,9114.0
Iraq,2603,,104.0,,1661.0,838,,65.0,3.0,122941.0,3057.0
Uzbekistan,2336,11.0,10.0,,1775.0,551,8.0,70.0,0.3,325000.0,9710.0
Azerbaijan,2279,,28.0,,1576.0,675,18.0,225.0,3.0,181530.0,17904.0
Cameroon,2267,,108.0,,1002.0,1157,12.0,85.0,4.0,,
