"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1645353,259.0,97655.0,8.0,403228.0,1144470.0,17109.0,4974.0,295.0,13920391.0,42082.0,330795837
Russia,2,335882,9434.0,3388.0,139.0,107936.0,224558.0,2300.0,2302.0,23.0,8402747.0,57581.0,145927974
Brazil,3,332382,1492.0,21116.0,68.0,135430.0,175836.0,8318.0,1565.0,99.0,735224.0,3462.0,212397420
Spain,4,281904,,28628.0,,196958.0,56318.0,1152.0,6030.0,612.0,3037840.0,64977.0,46752901
UK,5,254195,,36393.0,,,,1559.0,3747.0,536.0,3231921.0,47635.0,67848130
Italy,6,228658,,32616.0,,136720.0,59322.0,595.0,3781.0,539.0,3318778.0,54882.0,60470956
France,7,182219,,28289.0,,64209.0,89721.0,1701.0,2792.0,433.0,1384633.0,21218.0,65258400
Germany,8,179713,,8352.0,,159900.0,11461.0,965.0,2146.0,100.0,3595059.0,42923.0,83755775
Turkey,9,154500,,4276.0,,116111.0,34113.0,800.0,1834.0,51.0,1767495.0,20982.0,84239988
Iran,10,131652,,7300.0,,102276.0,22076.0,2659.0,1570.0,87.0,763913.0,9108.0,83874391
India,11,125149,355.0,3728.0,2.0,51824.0,69597.0,,91.0,3.0,2834798.0,2056.0,1378529934
Peru,12,111698,,3244.0,,44848.0,63606.0,901.0,3393.0,99.0,750526.0,22798.0,32920920
Canada,13,82480,,6250.0,,42594.0,33636.0,502.0,2187.0,166.0,1405208.0,37267.0,37706381
Saudi Arabia,14,67719,,364.0,,39003.0,28352.0,302.0,1949.0,10.0,667057.0,19194.0,34753259
Mexico,15,62527,2960.0,6989.0,479.0,42725.0,12813.0,378.0,486.0,54.0,201838.0,1567.0,128785048
Chile,16,61857,,630.0,,25342.0,35885.0,986.0,3239.0,33.0,442093.0,23148.0,19098478
Belgium,17,56810,299.0,9237.0,25.0,15155.0,32418.0,259.0,4904.0,797.0,768706.0,66358.0,11584289
Pakistan,18,52437,1743.0,1101.0,34.0,16653.0,34683.0,111.0,238.0,5.0,460692.0,2090.0,220403741
Netherlands,19,44888,,5788.0,,,,252.0,2620.0,338.0,313755.0,18315.0,17130906
Qatar,20,40481,,19.0,,7893.0,32569.0,175.0,14078.0,7.0,180642.0,62819.0,2875579
Ecuador,21,35828,,3056.0,,3557.0,29215.0,191.0,2034.0,174.0,104330.0,5923.0,17613161
Belarus,22,35244,941.0,194.0,4.0,13528.0,21522.0,92.0,3730.0,21.0,434618.0,45993.0,9449644
Sweden,23,32809,,3925.0,,4971.0,23913.0,265.0,3251.0,389.0,209900.0,20798.0,10092543
Bangladesh,24,32078,1873.0,452.0,20.0,6486.0,25140.0,1.0,195.0,3.0,234675.0,1427.0,164510959
Singapore,25,31068,642.0,23.0,,12995.0,18050.0,8.0,5315.0,4.0,294414.0,50367.0,5845390
Switzerland,26,30725,18.0,1904.0,1.0,27900.0,921.0,51.0,3553.0,220.0,367037.0,42443.0,8647829
Portugal,27,30200,,1289.0,,7590.0,21321.0,84.0,2961.0,126.0,689705.0,67620.0,10199740
UAE,28,27892,,241.0,,13798.0,13853.0,1.0,2824.0,24.0,1600923.0,162082.0,9877270
Ireland,29,24506,,1592.0,,21060.0,1854.0,54.0,4969.0,323.0,295626.0,59943.0,4931752
Indonesia,30,21745,949.0,1351.0,25.0,5249.0,15145.0,,80.0,5.0,229334.0,839.0,273208135
Poland,31,20838,219.0,990.0,8.0,8977.0,10871.0,160.0,551.0,26.0,719571.0,19011.0,37850876
Ukraine,32,20580,432.0,605.0,17.0,6929.0,13046.0,256.0,470.0,14.0,277712.0,6346.0,43760129
South Africa,33,20125,,397.0,,10104.0,9624.0,119.0,340.0,7.0,543032.0,9169.0,59226304
Kuwait,34,19564,,138.0,,5515.0,13911.0,180.0,4589.0,32.0,264959.0,62145.0,4263538
Colombia,35,19131,,682.0,,4575.0,13874.0,136.0,376.0,13.0,235948.0,4642.0,50823711
Romania,36,17857,145.0,1170.0,4.0,11187.0,5500.0,196.0,928.0,61.0,361566.0,18782.0,19250526
Israel,37,16712,22.0,279.0,,14085.0,2348.0,47.0,1817.0,30.0,536306.0,58309.0,9197590
Japan,38,16513,,796.0,,13005.0,2712.0,176.0,131.0,6.0,265502.0,2099.0,126515903
Austria,39,16486,50.0,639.0,4.0,15037.0,810.0,28.0,1832.0,71.0,396363.0,44036.0,9000927
Egypt,40,15786,,707.0,,4374.0,10705.0,41.0,155.0,7.0,135000.0,1322.0,102115130
Dominican Republic,41,13989,,456.0,,7572.0,5961.0,113.0,1291.0,42.0,61330.0,5660.0,10836077
Philippines,42,13777,180.0,863.0,6.0,3177.0,9737.0,81.0,126.0,8.0,278041.0,2541.0,109419831
Denmark,43,11230,,561.0,,9764.0,905.0,23.0,1940.0,97.0,514765.0,88905.0,5790054
S. Korea,44,11165,23.0,266.0,2.0,10194.0,705.0,15.0,218.0,5.0,814420.0,15887.0,51264600
Serbia,45,11024,,237.0,,5541.0,5246.0,12.0,1261.0,27.0,209797.0,24002.0,8740939
Argentina,46,10649,,433.0,,3062.0,7154.0,171.0,236.0,10.0,121278.0,2686.0,45150850
Panama,47,10267,,295.0,,6275.0,3697.0,72.0,2384.0,68.0,55018.0,12774.0,4307167
Afghanistan,48,9998,782.0,216.0,11.0,1040.0,8742.0,19.0,258.0,6.0,29417.0,758.0,38826954
Czechia,49,8813,,312.0,,6025.0,2476.0,29.0,823.0,29.0,387127.0,36157.0,10706906
Bahrain,50,8774,360.0,12.0,,4462.0,4300.0,8.0,5178.0,7.0,274711.0,162137.0,1694317
Norway,51,8332,,235.0,,7727.0,370.0,13.0,1538.0,43.0,229769.0,42419.0,5416680
Kazakhstan,52,7919,322.0,35.0,,4096.0,3788.0,31.0,422.0,2.0,635712.0,33901.0,18752041
Algeria,53,7918,,582.0,,4256.0,3080.0,22.0,181.0,13.0,,,43761439
Morocco,54,7375,43.0,197.0,,4573.0,2605.0,1.0,200.0,5.0,132968.0,3607.0,36862538
Nigeria,55,7261,,221.0,,2007.0,5033.0,7.0,35.0,1.0,41907.0,204.0,205542168
Oman,56,7257,463.0,34.0,,1848.0,5375.0,31.0,1425.0,7.0,72000.0,14142.0,5091392
Malaysia,57,7185,48.0,115.0,,5912.0,1158.0,9.0,222.0,4.0,500469.0,15485.0,32320265
Australia,58,7111,16.0,102.0,1.0,6494.0,515.0,5.0,279.0,4.0,1191127.0,46771.0,25467448
Moldova,59,6847,,237.0,,3369.0,3241.0,251.0,1697.0,59.0,40565.0,10053.0,4034922
Ghana,60,6617,131.0,31.0,,1976.0,4610.0,16.0,213.0,1.0,193705.0,6249.0,30998526
Finland,61,6568,31.0,306.0,,4800.0,1462.0,21.0,1186.0,55.0,165600.0,29893.0,5539822
Armenia,62,6302,374.0,77.0,3.0,2936.0,3289.0,10.0,2127.0,26.0,49080.0,16566.0,2962665
Bolivia,63,5579,392.0,230.0,15.0,575.0,4774.0,3.0,479.0,20.0,14803.0,1270.0,11655388
Cameroon,64,4400,,159.0,,1822.0,2419.0,28.0,166.0,6.0,,,26468556
Luxembourg,65,3981,,109.0,,3748.0,124.0,5.0,6371.0,174.0,65724.0,105186.0,624836
Iraq,66,3964,,147.0,,2532.0,1285.0,,99.0,4.0,175830.0,4383.0,40118148
Azerbaijan,67,3855,,46.0,,2399.0,1410.0,42.0,381.0,5.0,252496.0,24927.0,10129286
Hungary,68,3713,35.0,482.0,6.0,1655.0,1576.0,21.0,384.0,50.0,159260.0,16482.0,9662856
Honduras,69,3477,273.0,167.0,11.0,439.0,2871.0,13.0,352.0,17.0,11820.0,1196.0,9886968
Sudan,70,3378,,137.0,,372.0,2869.0,,77.0,3.0,394.0,9.0,43730378
Guinea,71,3067,,19.0,,1575.0,1473.0,24.0,234.0,1.0,13726.0,1049.0,13090666
Thailand,72,3040,3.0,56.0,,2916.0,68.0,61.0,44.0,0.8,328073.0,4701.0,69781627
Uzbekistan,73,3036,8.0,13.0,,2492.0,531.0,4.0,91.0,0.4,460000.0,13766.0,33415264
Senegal,74,2909,,33.0,,1311.0,1565.0,6.0,174.0,2.0,34082.0,2042.0,16691939
Greece,75,2874,,169.0,,1374.0,1331.0,19.0,276.0,16.0,147958.0,14188.0,10428193
Guatemala,76,2743,231.0,51.0,3.0,222.0,2470.0,5.0,153.0,3.0,25464.0,1424.0,17877985
Tajikistan,77,2551,,44.0,,1089.0,1418.0,,268.0,5.0,,,9512877
Bulgaria,78,2408,36.0,126.0,1.0,808.0,1474.0,29.0,346.0,18.0,73210.0,10528.0,6953654
Bosnia and Herzegovina,79,2372,,141.0,,1614.0,617.0,4.0,723.0,43.0,57507.0,17517.0,3282865
Ivory Coast,80,2341,,29.0,,1146.0,1166.0,,89.0,1.0,22233.0,845.0,26301903
Djibouti,81,2270,,10.0,,1064.0,1196.0,,2301.0,10.0,22097.0,22402.0,986402
Croatia,82,2243,,99.0,,2011.0,133.0,5.0,546.0,24.0,59911.0,14585.0,4107806
DRC,83,2025,80.0,63.0,,312.0,1650.0,,23.0,0.7,,,89234236
North Macedonia,84,1921,,112.0,,1387.0,422.0,21.0,922.0,54.0,24018.0,11528.0,2083383
Cuba,85,1916,,81.0,,1631.0,204.0,4.0,169.0,7.0,90911.0,8026.0,11327329
Estonia,86,1821,14.0,64.0,,1526.0,231.0,2.0,1373.0,48.0,75249.0,56730.0,1326442
El Salvador,87,1819,94.0,33.0,,570.0,1216.0,25.0,281.0,5.0,70225.0,10833.0,6482732
Iceland,88,1803,,10.0,,1791.0,2.0,,5287.0,29.0,58225.0,170745.0,341006
