Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05,2020/05/20 10:33:11,2020/05/21 10:33:38,2020/05/22 10:33:43,2020/05/23 10:34:25,2020/05/24 10:34:25,2020/05/25 10:34:32,2020/05/26 10:35:20,2020/05/27 10:36:03,2020/05/28 10:36:44
USA,142004.0,338999.0,356414.0,368174.0,386587.0,400549.0,400549.0,400549.0,400549.0,435289.0,468895.0,476397.0,503177.0,533115.0,644348.0,678210.0,710272.0,738923.0,764265.0,792938.0,819175.0,849092.0,886709.0,925758.0,960896.0,987322.0,1010507.0,1035765.0,1064572.0,1095304.0,1131492.0,1160840.0,1188826.0,1212955.0,1238040.0,1263243.0,1292879.0,1322164.0,1347318.0,1367963.0,1385850.0,1408636.0,1430348.0,1457593.0,1484287.0,1507798.0,1527951.0,1550539.0,1571018.0,1593296.0,1621333.0,1645353.0,1666829.0,1686436.0,1706226.0,1725808.0,1745911.0
Italy,97689.0,128948.0,132547.0,132547.0,135586.0,135586.0,135586.0,135586.0,135586.0,139422.0,143626.0,143626.0,147577.0,152271.0,165155.0,168941.0,172434.0,175925.0,178972.0,181228.0,183957.0,187327.0,189973.0,192994.0,195351.0,197675.0,199414.0,201505.0,203591.0,205463.0,207428.0,209328.0,210717.0,211938.0,213013.0,214457.0,215858.0,217185.0,218268.0,219070.0,219814.0,221216.0,222104.0,223096.0,223885.0,224760.0,225435.0,225886.0,226699.0,227364.0,228006.0,228658.0,229327.0,229858.0,230158.0,230555.0,231139.0
Spain,80110.0,135032.0,135032.0,140510.0,140511.0,141942.0,141942.0,146690.0,146690.0,152446.0,157022.0,157053.0,161852.0,166019.0,182816.0,184948.0,190839.0,195944.0,200210.0,204178.0,208389.0,213024.0,213024.0,219764.0,223759.0,226629.0,229422.0,232128.0,236899.0,239639.0,242988.0,245567.0,247122.0,248301.0,250561.0,253682.0,256855.0,260117.0,262783.0,264663.0,268143.0,269520.0,271095.0,272646.0,274367.0,277719.0,277719.0,278188.0,278803.0,279524.0,280117.0,281904.0,282370.0,282852.0,282480.0,283339.0,283849.0
Germany,62435.0,100770.0,101558.0,103717.0,107458.0,107663.0,107663.0,107663.0,107663.0,113296.0,118235.0,119498.0,122171.0,125452.0,134753.0,138135.0,141397.0,143724.0,145743.0,147065.0,148453.0,150729.0,153215.0,155054.0,156513.0,157770.0,158758.0,159934.0,161539.0,163009.0,164077.0,164967.0,165664.0,166152.0,167007.0,168162.0,169430.0,170588.0,171324.0,171879.0,172576.0,173274.0,174098.0,174975.0,175699.0,176244.0,176651.0,177289.0,177842.0,178531.0,179110.0,179713.0,179986.0,180328.0,180808.0,181288.0,181895.0
France,40174.0,92839.0,98010.0,98010.0,109069.0,109069.0,109069.0,109069.0,109069.0,112950.0,117749.0,117749.0,124869.0,129654.0,147863.0,165027.0,147969.0,151793.0,152894.0,155383.0,158050.0,159877.0,158183.0,159828.0,161488.0,162100.0,165842.0,165911.0,166420.0,167178.0,167346.0,168396.0,168693.0,169462.0,170551.0,174191.0,174791.0,176079.0,176658.0,176970.0,177423.0,178225.0,178060.0,178870.0,179506.0,179365.0,179569.0,179927.0,180809.0,181575.0,181826.0,182219.0,182469.0,182584.0,182942.0,182722.0,182913.0
Iran,38309.0,60500.0,60500.0,62589.0,62589.0,62589.0,62589.0,67286.0,67286.0,66220.0,66220.0,68192.0,68192.0,70029.0,76389.0,77995.0,79494.0,80868.0,82211.0,83505.0,84802.0,85996.0,87026.0,88194.0,89328.0,90481.0,91472.0,92584.0,93657.0,94640.0,95646.0,96448.0,97424.0,99970.0,99970.0,101650.0,103135.0,104691.0,106220.0,109286.0,109286.0,110767.0,112725.0,114533.0,118392.0,118392.0,120198.0,122492.0,124603.0,126949.0,131652.0,131652.0,135701.0,137724.0,137724.0,141591.0,143849.0
UK,19522.0,47806.0,51608.0,51608.0,55242.0,55242.0,55242.0,55242.0,55242.0,60733.0,65077.0,65077.0,73758.0,78991.0,98476.0,103093.0,108692.0,114217.0,120067.0,124743.0,129044.0,133495.0,138078.0,143464.0,148377.0,152840.0,157149.0,161145.0,165221.0,171253.0,177454.0,182260.0,186599.0,190584.0,194990.0,201101.0,206715.0,211364.0,215260.0,219183.0,223060.0,226463.0,229705.0,233151.0,236711.0,240161.0,243695.0,246406.0,248818.0,248293.0,250908.0,254195.0,257154.0,259559.0,261184.0,265227.0,267240.0
Switzerland,14829.0,21652.0,21652.0,22242.0,22253.0,22328.0,22328.0,22488.0,22488.0,23612.0,24172.0,24548.0,24657.0,25300.0,26359.0,26732.0,27078.0,27404.0,27740.0,27944.0,28063.0,28496.0,28677.0,28677.0,28894.0,29061.0,29164.0,29264.0,29407.0,29586.0,29817.0,29817.0,29905.0,30009.0,30009.0,30060.0,30126.0,30207.0,30251.0,30305.0,30380.0,30413.0,30463.0,30514.0,30514.0,30587.0,30597.0,30618.0,30618.0,30658.0,30694.0,30725.0,30736.0,30736.0,30761.0,30776.0,30796.0
Netherlands,10866.0,18803.0,18803.0,19580.0,19580.0,19580.0,19580.0,19580.0,19580.0,21762.0,21762.0,23097.0,23097.0,24413.0,28153.0,29214.0,30449.0,31589.0,32655.0,33405.0,34134.0,34842.0,35729.0,36535.0,37190.0,37845.0,38245.0,38416.0,38802.0,39316.0,39791.0,40236.0,40571.0,40770.0,41087.0,41319.0,41774.0,42093.0,42382.0,42627.0,42788.0,42984.0,43211.0,43481.0,43681.0,43870.0,43995.0,44141.0,44249.0,44447.0,44700.0,44888.0,45064.0,45236.0,45445.0,45578.0,45768.0
Belgium,10836.0,20814.0,20814.0,22194.0,22194.0,22194.0,23403.0,23403.0,23403.0,24983.0,26667.0,26667.0,28018.0,29647.0,34809.0,36138.0,37183.0,38496.0,39983.0,40956.0,41889.0,42797.0,44293.0,45325.0,46134.0,46687.0,47334.0,47859.0,48519.0,49032.0,49517.0,49906.0,50267.0,50509.0,50781.0,51420.0,52011.0,52596.0,53081.0,53449.0,53779.0,53981.0,54288.0,54644.0,54989.0,55280.0,55559.0,55791.0,55983.0,56235.0,56511.0,56810.0,57092.0,57342.0,57455.0,57592.0,57849.0
S. Korea,9583.0,10284.0,10284.0,10331.0,10331.0,10384.0,10384.0,10384.0,10384.0,10423.0,10450.0,10450.0,10480.0,10512.0,10613.0,10635.0,10653.0,10661.0,10674.0,10683.0,10694.0,10702.0,10708.0,10718.0,10728.0,10738.0,10752.0,10761.0,10765.0,10774.0,10780.0,10793.0,10801.0,10804.0,10806.0,10810.0,10822.0,10840.0,10874.0,10909.0,10936.0,10962.0,10991.0,11018.0,11037.0,11050.0,11065.0,11078.0,11110.0,11122.0,11142.0,11165.0,11190.0,11206.0,11225.0,11265.0,11344.0
Turkey,9217.0,27069.0,30217.0,30217.0,34109.0,34109.0,34109.0,34109.0,34109.0,38226.0,42282.0,42282.0,47029.0,52167.0,69392.0,74193.0,78546.0,82329.0,86306.0,90980.0,95591.0,98674.0,101790.0,104912.0,107773.0,110130.0,112261.0,114653.0,117589.0,120204.0,122392.0,124375.0,126045.0,127659.0,129491.0,131744.0,133721.0,135569.0,137115.0,138657.0,139771.0,141475.0,143114.0,144749.0,146457.0,148067.0,149435.0,150593.0,151615.0,152587.0,153548.0,154500.0,155686.0,156827.0,157814.0,158762.0,159797.0
Austria,8788.0,12261.0,12286.0,12519.0,12616.0,12721.0,12734.0,12738.0,12738.0,13138.0,13377.0,13531.0,13730.0,13945.0,14412.0,14527.0,14619.0,14675.0,14795.0,14873.0,14925.0,15002.0,15071.0,15148.0,15225.0,15274.0,15357.0,15357.0,15452.0,15561.0,15531.0,15597.0,15597.0,15650.0,15684.0,15752.0,15774.0,15833.0,15871.0,15871.0,15961.0,15997.0,16058.0,16108.0,16201.0,16242.0,16269.0,16321.0,16353.0,16404.0,16436.0,16486.0,16503.0,16539.0,16557.0,16557.0,16628.0
Canada,6320.0,15512.0,16498.0,16667.0,17840.0,17897.0,17897.0,17897.0,17897.0,19438.0,20765.0,21243.0,22148.0,23318.0,28379.0,30106.0,31927.0,33383.0,35056.0,36831.0,38422.0,40190.0,42110.0,43888.0,45354.0,46895.0,48500.0,50026.0,51597.0,53236.0,55061.0,56714.0,59474.0,60772.0,62046.0,63496.0,64922.0,66434.0,67702.0,68848.0,69981.0,71157.0,72278.0,73401.0,74613.0,75864.0,77002.0,78072.0,79112.0,80142.0,81324.0,82480.0,83621.0,84699.0,85711.0,86647.0,87519.0
Portugal,5962.0,11730.0,11730.0,12442.0,12442.0,12442.0,12442.0,12442.0,12442.0,13956.0,13956.0,15472.0,15472.0,15987.0,18091.0,18841.0,19022.0,19685.0,20206.0,20863.0,21379.0,21982.0,22353.0,22797.0,23392.0,23864.0,24027.0,24322.0,24505.0,25045.0,25351.0,25190.0,25282.0,25524.0,25702.0,26182.0,26715.0,27268.0,27406.0,27581.0,27679.0,27913.0,28132.0,28319.0,28583.0,28810.0,29036.0,29209.0,29432.0,29660.0,29912.0,30200.0,30471.0,30623.0,30788.0,31007.0,31292.0
Norway,4284.0,5760.0,5763.0,5866.0,5903.0,6086.0,6086.0,6086.0,6086.0,6160.0,6219.0,6244.0,6360.0,6409.0,6798.0,6905.0,6992.0,7069.0,7103.0,7156.0,7241.0,7338.0,7401.0,7463.0,7499.0,7527.0,7599.0,7660.0,7710.0,7738.0,7783.0,7809.0,7847.0,7904.0,7955.0,7996.0,8034.0,8070.0,8099.0,8105.0,8132.0,8157.0,8175.0,8196.0,8219.0,8237.0,8249.0,8257.0,8267.0,8281.0,8309.0,8332.0,8346.0,8352.0,8364.0,8383.0,8401.0
Brazil,4256.0,11494.0,11670.0,12240.0,12610.0,14049.0,14049.0,14049.0,14049.0,16238.0,18176.0,18176.0,19943.0,20964.0,28912.0,30891.0,34221.0,36925.0,38654.0,40814.0,43368.0,46182.0,50036.0,54043.0,59324.0,63100.0,67446.0,73235.0,79685.0,87187.0,92202.0,97100.0,101826.0,108620.0,115953.0,126611.0,135773.0,146894.0,156061.0,162699.0,169594.0,178214.0,190137.0,203165.0,220291.0,233511.0,241080.0,255368.0,271885.0,293357.0,310921.0,332382.0,349113.0,365213.0,376669.0,394507.0,414661.0
Israel,4247.0,8611.0,8904.0,9006.0,9248.0,9404.0,9404.0,9404.0,9404.0,9755.0,10095.0,10095.0,10505.0,10878.0,12591.0,12855.0,13107.0,13362.0,13654.0,13883.0,14326.0,14592.0,14882.0,15148.0,15398.0,15466.0,15589.0,15782.0,15870.0,16004.0,16152.0,16193.0,16237.0,16268.0,16314.0,16346.0,16409.0,16444.0,16458.0,16492.0,16526.0,16539.0,16567.0,16589.0,16606.0,16607.0,16621.0,16650.0,16659.0,16670.0,16690.0,16712.0,16712.0,16720.0,16743.0,16771.0,16809.0
