Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05
USA,2484.0,9687.0,10490.0,10966.0,12275.0,12857.0,12857.0,12857.0,12857.0,14818.0,16697.0,17843.0,18761.0,20580.0,28554.0,34641.0,37175.0,39015.0,40565.0,42518.0,45343.0,47681.0,50243.0,52217.0,54265.0,55415.0,56803.0,59266.0,61669.0,63871.0,65776.0,67448.0,68606.0,69925.0,72284.0,74809.0,76942.0,78616.0,80040.0,80787.0,81795.0,83425.0,85197.0,86912.0,88507.0,90113.0,90980.0,91985.0
Italy,10779.0,15887.0,16523.0,16523.0,17127.0,17127.0,17127.0,17127.0,17127.0,17669.0,18279.0,18279.0,18849.0,19468.0,21645.0,22170.0,22745.0,23227.0,23660.0,24114.0,24648.0,25085.0,25549.0,25969.0,26384.0,26644.0,26977.0,27359.0,27682.0,27967.0,28236.0,28710.0,28884.0,29079.0,29315.0,29684.0,29958.0,30201.0,30395.0,30560.0,30739.0,30911.0,31106.0,31368.0,31610.0,31763.0,31908.0,32007.0
Spain,6803.0,13055.0,13169.0,13798.0,13897.0,14045.0,14045.0,14555.0,14555.0,15238.0,15843.0,15970.0,16353.0,16972.0,19130.0,19315.0,20002.0,20639.0,20852.0,21282.0,21717.0,22157.0,22157.0,22524.0,22902.0,23190.0,23521.0,23822.0,24275.0,24543.0,24824.0,25100.0,25264.0,25428.0,25613.0,25857.0,26070.0,26299.0,26478.0,26621.0,26744.0,26920.0,27104.0,27321.0,27459.0,27650.0,27650.0,27709.0
Germany,541.0,1608.0,1662.0,1822.0,1983.0,2016.0,2016.0,2016.0,2016.0,2349.0,2607.0,2607.0,2736.0,2871.0,3804.0,4093.0,4352.0,4538.0,4642.0,4862.0,5086.0,5315.0,5575.0,5767.0,5877.0,5976.0,6126.0,6314.0,6467.0,6623.0,6736.0,6812.0,6866.0,6993.0,6993.0,7275.0,7392.0,7510.0,7549.0,7569.0,7661.0,7755.0,7861.0,7928.0,8001.0,8027.0,8049.0,8123.0
France,2606.0,8078.0,8911.0,8911.0,10328.0,10328.0,10328.0,10328.0,10328.0,10869.0,12210.0,12210.0,13197.0,13832.0,17167.0,17920.0,18681.0,19323.0,19718.0,20265.0,20796.0,21340.0,21856.0,22245.0,22614.0,22856.0,23293.0,23660.0,24087.0,24376.0,24594.0,24760.0,24895.0,25201.0,25531.0,25809.0,25987.0,26230.0,26310.0,26380.0,26643.0,26991.0,27074.0,27425.0,27529.0,27625.0,28108.0,28239.0
Iran,2640.0,3739.0,3739.0,3872.0,3872.0,3872.0,3872.0,4003.0,4003.0,4110.0,4110.0,4232.0,4232.0,4357.0,4777.0,4869.0,4958.0,5031.0,5118.0,5209.0,5297.0,5391.0,5481.0,5574.0,5650.0,5710.0,5806.0,5877.0,5957.0,6028.0,6091.0,6156.0,6203.0,6340.0,6340.0,6418.0,6486.0,6541.0,6589.0,6685.0,6685.0,6733.0,6783.0,6854.0,6937.0,6937.0,6988.0,7057.0
UK,1228.0,4934.0,5373.0,5373.0,6159.0,6159.0,6159.0,6159.0,6159.0,7097.0,7978.0,8931.0,8958.0,9875.0,12868.0,13729.0,14576.0,15464.0,16060.0,16509.0,17337.0,18100.0,18738.0,19506.0,20319.0,20732.0,21092.0,21678.0,26097.0,26771.0,27510.0,28131.0,28446.0,28734.0,29427.0,30076.0,30615.0,31241.0,31587.0,31855.0,32065.0,32692.0,33186.0,33614.0,33998.0,34466.0,34636.0,34796.0
Switzerland,300.0,734.0,762.0,787.0,821.0,824.0,824.0,846.0,846.0,926.0,958.0,1001.0,1003.0,1036.0,1254.0,1288.0,1336.0,1368.0,1393.0,1436.0,1478.0,1509.0,1551.0,1593.0,1599.0,1610.0,1677.0,1699.0,1716.0,1737.0,1754.0,1762.0,1762.0,1784.0,1795.0,1805.0,1810.0,1823.0,1830.0,1833.0,1845.0,1867.0,1870.0,1874.0,1878.0,1879.0,1881.0,1886.0
Netherlands,771.0,1867.0,1867.0,2101.0,2101.0,2101.0,2101.0,2101.0,2101.0,2396.0,2396.0,2511.0,2511.0,2643.0,3134.0,3315.0,3459.0,3601.0,3684.0,3751.0,3916.0,4054.0,4177.0,4289.0,4409.0,4475.0,4518.0,4566.0,4711.0,4795.0,4893.0,4987.0,5056.0,5082.0,5168.0,5204.0,5288.0,5359.0,5422.0,5440.0,5456.0,5510.0,5562.0,5590.0,5643.0,5670.0,5680.0,5694.0
Belgium,431.0,1632.0,1632.0,2035.0,2035.0,2035.0,2240.0,2240.0,2240.0,2523.0,3019.0,3019.0,3346.0,3600.0,4857.0,5163.0,5453.0,5683.0,5828.0,5998.0,6262.0,6490.0,6679.0,6917.0,7094.0,7207.0,7331.0,7501.0,7594.0,7703.0,7765.0,7844.0,7924.0,8016.0,8339.0,8415.0,8521.0,8581.0,8656.0,8707.0,8761.0,8843.0,8903.0,8959.0,9005.0,9052.0,9080.0,9108.0
