Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51,2020/05/11 10:29:44,2020/05/12 10:29:49,2020/05/13 10:30:19,2020/05/14 10:30:49,2020/05/15 10:30:52,2020/05/16 10:31:37,2020/05/17 10:32:03,2020/05/18 10:32:10,2020/05/19 10:33:05,2020/05/20 10:33:11,2020/05/21 10:33:38,2020/05/22 10:33:43,2020/05/23 10:34:25,2020/05/24 10:34:25,2020/05/25 10:34:32,2020/05/26 10:35:20,2020/05/27 10:36:03
USA,4559.0,18002.0,19247.0,19814.0,21316.0,21711.0,21711.0,21711.0,21711.0,22909.0,25928.0,26094.0,27314.0,30502.0,48708.0,57844.0,63510.0,68285.0,71012.0,72389.0,82973.0,84050.0,85922.0,110432.0,118162.0,118781.0,139162.0,142238.0,147411.0,155737.0,161563.0,173725.0,178594.0,188068.0,200669.0,213109.0,217251.0,223749.0,238080.0,256336.0,262225.0,296746.0,310259.0,318027.0,327751.0,339232.0,346389.0,356383.0,361227.0,370864.0,382244.0,403228.0,446927.0,451702.0,464670.0,479973.0
Italy,13030.0,21815.0,22837.0,22837.0,24392.0,24392.0,24392.0,24392.0,24392.0,26491.0,28470.0,28470.0,30455.0,32534.0,38092.0,40164.0,42727.0,44927.0,47055.0,48877.0,51600.0,54543.0,57576.0,60498.0,63120.0,64928.0,66624.0,68941.0,71252.0,75945.0,78249.0,79914.0,81654.0,82879.0,85231.0,93245.0,96276.0,99023.0,103031.0,105186.0,106587.0,109039.0,112541.0,115288.0,120205.0,122810.0,125176.0,127326.0,129401.0,132282.0,134560.0,136720.0,138840.0,140479.0,141981.0,144658.0
Spain,14709.0,40437.0,40437.0,43208.0,43208.0,43208.0,43208.0,48021.0,48021.0,52165.0,55668.0,55668.0,59109.0,62391.0,74797.0,74797.0,74797.0,77357.0,80587.0,82514.0,85915.0,89250.0,89250.0,92355.0,95708.0,117727.0,120832.0,123903.0,132929.0,137984.0,142450.0,146233.0,148558.0,151633.0,154718.0,159359.0,163919.0,168408.0,173157.0,176439.0,177846.0,180470.0,183227.0,186480.0,188967.0,195945.0,195945.0,196958.0,196958.0,196958.0,196958.0,196958.0,196958.0,196958.0,196958.0,196958.0
Germany,9211.0,28700.0,28700.0,36081.0,36081.0,36081.0,36081.0,36081.0,36081.0,46300.0,52407.0,52407.0,53913.0,57400.0,77000.0,81800.0,85400.0,88000.0,91500.0,95200.0,99400.0,103300.0,106800.0,109800.0,109800.0,114500.0,114500.0,120400.0,123500.0,126900.0,129000.0,130600.0,132700.0,135100.0,137400.0,139900.0,141700.0,143300.0,144400.0,145600.0,147200.0,148700.0,150300.0,151700.0,152600.0,153400.0,154600.0,155700.0,156900.0,158000.0,159000.0,159900.0,160300.0,161200.0,162000.0,162800.0
France,7202.0,16183.0,17250.0,17250.0,19337.0,19337.0,19337.0,19337.0,19337.0,21254.0,23206.0,23206.0,24932.0,26391.0,30955.0,32812.0,34420.0,35983.0,36578.0,37409.0,39181.0,40657.0,42088.0,43493.0,44594.0,44903.0,45513.0,46886.0,48228.0,49476.0,50212.0,50562.0,50784.0,51371.0,52736.0,53972.0,55027.0,55782.0,56038.0,56217.0,56724.0,57785.0,58673.0,59605.0,60448.0,61066.0,61213.0,61728.0,62563.0,63354.0,63858.0,64209.0,64547.0,64617.0,65199.0,65879.0
Iran,12391.0,24236.0,24236.0,27039.0,27039.0,27039.0,27039.0,27039.0,27039.0,32309.0,32309.0,35465.0,35465.0,41947.0,49933.0,52229.0,54064.0,55987.0,57023.0,59273.0,60965.0,63113.0,64843.0,66599.0,68193.0,69657.0,70933.0,72439.0,73791.0,75103.0,76318.0,77350.0,78422.0,80475.0,80475.0,81587.0,82744.0,83837.0,85064.0,87422.0,87422.0,88357.0,89428.0,90539.0,93147.0,93147.0,94464.0,95661.0,97173.0,98808.0,102276.0,102276.0,105801.0,107713.0,107713.0,111176.0
UK,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,344.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,1595.0,7298.0,8056.0,8056.0,8704.0,8704.0,8704.0,8704.0,8704.0,9900.0,10600.0,10600.0,11100.0,12100.0,15400.0,15900.0,16400.0,17100.0,17800.0,18600.0,19400.0,19900.0,20600.0,21000.0,21300.0,21800.0,22200.0,22600.0,22600.0,23400.0,23900.0,24200.0,24500.0,25200.0,25400.0,25700.0,25900.0,26100.0,26400.0,26600.0,26800.0,26800.0,27100.0,27100.0,27100.0,27400.0,27500.0,27600.0,27700.0,27800.0,27900.0,27900.0,28000.0,28100.0,28200.0,28200.0
Netherlands,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,1359.0,3986.0,3986.0,4157.0,4157.0,4157.0,4681.0,4681.0,4681.0,5164.0,5568.0,5568.0,5986.0,6463.0,7562.0,7961.0,8348.0,8757.0,8895.0,9002.0,9433.0,9800.0,10122.0,10417.0,10785.0,10878.0,10943.0,11283.0,11576.0,11892.0,12211.0,12309.0,12378.0,12441.0,12731.0,12980.0,13201.0,13411.0,13642.0,13697.0,13732.0,13937.0,14111.0,14301.0,14460.0,14630.0,14657.0,14687.0,14847.0,14988.0,15123.0,15155.0,15272.0,15297.0,15320.0,15465.0
